scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,dynamicProperties,iucnRegionalStatus
Accipiter bicolor,Aves,Accipitriformes,Accipitridae,Accipiter,bicolor,,gavilán bicolor,LC,
Accipiter striatus,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,,gavilán chico,LC,
Actitis macularius,Aves,Charadriiformes,Scolopacidae,Actitis,macularius,,playerito manchado,LC,
Aegolius harrisii,Aves,Strigiformes,Strigidae,Aegolius,harrisii,,lechucita canela,LC,EN
Agelaioides badius,Aves,Passeriformes,Icteridae,Agelaioides,badius,,músico,LC,
Agelasticus thilius,Aves,Passeriformes,Icteridae,Agelasticus,thilius,,alférez,LC,
Agriornis murinus,Aves,Passeriformes,Tyrannidae,Agriornis,murinus,,gaucho chico,LC,
Alectrurus risora,Aves,Passeriformes,Tyrannidae,Alectrurus,risora,,yetapá de collar,VU,CR
Alopochelidon fucata,Aves,Passeriformes,Hirundinidae,Alopochelidon,fucata,,golondrina cara rojiza,LC,
Amazonetta brasiliensis,Aves,Anseriformes,Anatidae,Amazonetta,brasiliensis,,pato brasilero,LC,
Amblyramphus holosericeus,Aves,Passeriformes,Icteridae,Amblyramphus,holosericeus,,federal,LC,
Ammodramus humeralis,Aves,Passeriformes,Emberizidae,Ammodramus,humeralis,,chingolo ceja amarilla,LC,
Anas bahamensis,Aves,Anseriformes,Anatidae,Anas,bahamensis,,pato gargantilla,LC,
Anas flavirostris,Aves,Anseriformes,Anatidae,Anas,flavirostris,,pato barcino,LC,
Anas georgica,Aves,Anseriformes,Anatidae,Anas,georgica,,pato maicero,LC,
Anas platyrhynchos,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,,,LC,
Anhima cornuta,Aves,Anseriformes,Anhimidae,Anhima,cornuta,,aruco,LC,
Anhinga anhinga,Aves,Suliformes,Anhingidae,Anhinga,anhinga,,aninga,LC,
Anthracothorax nigricollis,Aves,Apodiformes,Trochilidae,Anthracothorax,nigricollis,,picaflor vientre negro,LC,
Anthus correndera,Aves,Passeriformes,Motacillidae,Anthus,correndera,,cachirla uña larga,LC,
Anthus furcatus,Aves,Passeriformes,Motacillidae,Anthus,furcatus,,cachirla común,LC,
Anthus hellmayri,Aves,Passeriformes,Motacillidae,Anthus,hellmayri,,cachirla pálida,LC,
Anthus lutescens,Aves,Passeriformes,Motacillidae,Anthus,lutescens,,cachirla chica,LC,
Anthus nattereri,Aves,Passeriformes,Motacillidae,Anthus,nattereri,,cachirla,VU,
Anumbius annumbi,Aves,Passeriformes,Furnariidae,Anumbius,annumbi,,espinero,LC,
Aptenodytes patagonicus,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,patagonicus,,pingüino rey,LC,
Aramides cajaneus,Aves,Gruiformes,Rallidae,Aramides,cajaneus,,chiricote,LC,
Aramides ypecaha,Aves,Gruiformes,Rallidae,Aramides,ypecaha,,gallineta grande,LC,
Aramus guarauna,Aves,Gruiformes,Aramidae,Aramus,guarauna,,carao,LC,
Ardea alba,Aves,Pelecaniformes,Ardeidae,Ardea,alba,,garza blanca grande,LC,
Ardea cocoi,Aves,Pelecaniformes,Ardeidae,Ardea,cocoi,,garza mora,LC,
Ardenna gravis,Aves,Procellariiformes,Procellariidae,Ardenna,gravis,,pardela cabeza negra,LC,
Ardenna grisea,Aves,Procellariiformes,Procellariidae,Ardenna,grisea,,pardela oscura,NT,
Arenaria interpres,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,,vuelvepiedras,LC,
Asio flammeus,Aves,Strigiformes,Strigidae,Asio,flammeus,,lechuzón de campo,LC,
Asthenes baeri,Aves,Passeriformes,Furnariidae,Asthenes,baeri,,canastero común,LC,
Asthenes pyrrholeuca,Aves,Passeriformes,Furnariidae,Asthenes,pyrrholeuca,,canastero coludo,LC,
Athene cunicularia,Aves,Strigiformes,Strigidae,Athene,cunicularia,,lechucita de campo,LC,
Bartramia longicauda,Aves,Charadriiformes,Scolopacidae,Bartramia,longicauda,,batitú,LC,
Basileuterus culicivorus,Aves,Passeriformes,Parulidae,Basileuterus,culicivorus,,arañero chico,LC,
Botaurus pinnatus,Aves,Pelecaniformes,Ardeidae,Botaurus,pinnatus,,mirasol grande,LC,
Brotogeris chiriri,Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri,,,LC,
Bubo virginianus,Aves,Strigiformes,Strigidae,Bubo,virginianus,,ñacurutú,LC,
Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,,garza bueyera,LC,
Busarellus nigricollis,Aves,Accipitriformes,Accipitridae,Busarellus,nigricollis,,águila pampa,LC,
Buteo albicaudatus,Aves,Accipitriformes,Accipitridae,Buteo,albicaudatus,,águila cola blanca,LC,
Buteo brachyurus,Aves,Accipitriformes,Accipitridae,Buteo,brachyurus,,,LC,
Buteo swainsoni,Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,,aguilucho langostero,LC,
Buteogallus meridionalis,Aves,Accipitriformes,Accipitridae,Buteogallus,meridionalis,,águila colorada,LC,
Buteogallus urubitinga,Aves,Accipitriformes,Accipitridae,Buteogallus,urubitinga,,águila negra,LC,
Butorides striata,Aves,Pelecaniformes,Ardeidae,Butorides,striata,,garcita azulada,LC,
Cacicus chrysopterus,Aves,Passeriformes,Icteridae,Cacicus,chrysopterus,,boyero ala amarilla,LC,
Cacicus haemorrhous,Aves,Passeriformes,Icteridae,Cacicus,haemorrhous,,,LC,
Cacicus solitarius,Aves,Passeriformes,Icteridae,Cacicus,solitarius,,boyero negro,LC,
Cairina moschata,Aves,Anseriformes,Anatidae,Cairina,moschata,,pato criollo,LC,EN
Calidris alba,Aves,Charadriiformes,Scolopacidae,Calidris,alba,,playerito blanco,LC,
Calidris bairdii,Aves,Charadriiformes,Scolopacidae,Calidris,bairdii,,playerito unicolor,LC,
Calidris canutus,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,,playero rojizo,NT,EN
Calidris fuscicollis,Aves,Charadriiformes,Scolopacidae,Calidris,fuscicollis,,playerito rabadilla blanca,LC,
Calidris himantopus,Aves,Charadriiformes,Scolopacidae,Calidris,himantopus,,playero zancudo,LC,
Calidris melanotos,Aves,Charadriiformes,Scolopacidae,Calidris,melanotos,,playerito pecho gris,LC,
Calidris pusilla,Aves,Charadriiformes,Scolopacidae,Calidris,pusilla,,playerito enano,NT,
Calidris subruficollis,Aves,Charadriiformes,Scolopacidae,Calidris,subruficollis,,playerito canela,NT,
Callonetta leucophrys,Aves,Anseriformes,Anatidae,Callonetta,leucophrys,,pato de collar,LC,
Calonectris diomedea,Aves,Procellariiformes,Procellariidae,Calonectris,diomedea,,pardela grande,LC,
Campephilus leucopogon,Aves,Piciformes,Picidae,Campephilus,leucopogon,,carpintero negro,LC,
Camptostoma obsoletum,Aves,Passeriformes,Tyrannidae,Camptostoma,obsoletum,,piojito silbón,LC,
Caracara plancus,Aves,Falconiformes,Falconidae,Caracara,plancus,,carancho,LC,
Cariama cristata,Aves,Cariamiformes,Cariamidae,Cariama,cristata,,seriema,LC,
Casiornis rufus,Aves,Passeriformes,Tyrannidae,Casiornis,rufus,,burlisto castaño,LC,
Cathartes aura,Aves,Accipitriformes,Cathartidae,Cathartes,aura,,cuervo cabeza roja,LC,
Cathartes burrovianus,Aves,Accipitriformes,Cathartidae,Cathartes,burrovianus,,cuervo cabeza amarilla,LC,
Certhiaxis cinnamomeus,Aves,Passeriformes,Furnariidae,Certhiaxis,cinnamomeus,,curutié colorado,LC,
Chaetura meridionalis,Aves,Apodiformes,Apodidae,Chaetura,meridionalis,,vencejo de tormenta,LC,
Charadrius collaris,Aves,Charadriiformes,Charadriidae,Charadrius,collaris,,chorlito de collar,LC,
Charadrius falklandicus,Aves,Charadriiformes,Charadriidae,Charadrius,falklandicus,,chorlito doble collar,LC,
Charadrius modestus,Aves,Charadriiformes,Charadriidae,Charadrius,modestus,,chorlito pecho canela,LC,
Charadrius semipalmatus,Aves,Charadriiformes,Charadriidae,Charadrius,semipalmatus,,chorlito palmado,LC,
Chauna torquata,Aves,Anseriformes,Anhimidae,Chauna,torquata,,chajá,LC,
Chionis albus,Aves,Charadriiformes,Chionidae,Chionis,albus,,paloma antártica,LC,
Chlidonias niger,Aves,Charadriiformes,Laridae,Chlidonias,niger,,gaviotín negro,LC,
Chloris chloris,Aves,Passeriformes,Fringillidae,Chloris,chloris,,verderón,LC,
Chloroceryle amazona,Aves,Coraciiformes,Alcedinidae,Chloroceryle,amazona,,martín pescador mediano,LC,
Chloroceryle americana,Aves,Coraciiformes,Alcedinidae,Chloroceryle,americana,,martín pescador chico,LC,
Chlorostilbon lucidus,Aves,Apodiformes,Trochilidae,Chlorostilbon,lucidus,,picaflor verde,LC,
Chordeiles minor,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,,añapero,LC,
Chordeiles nacunda,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,nacunda,,ñacundá,LC,
Chroicocephalus cirrocephalus,Aves,Charadriiformes,Laridae,Chroicocephalus,cirrocephalus,,gaviota capucho gris,LC,
Chroicocephalus maculipennis,Aves,Charadriiformes,Laridae,Chroicocephalus,maculipennis,,gaviota capucho café,LC,
Chrysomus ruficapillus,Aves,Passeriformes,Icteridae,Chrysomus,ruficapillus,,garibaldino,LC,
Ciconia maguari,Aves,Ciconiiformes,Ciconiidae,Ciconia,maguari,,cigüeña común,LC,
Cinclodes fuscus,Aves,Passeriformes,Furnariidae,Cinclodes,fuscus,,remolinera,LC,
Circus buffoni,Aves,Accipitriformes,Accipitridae,Circus,buffoni,,gavilán alilargo,LC,
Circus cinereus,Aves,Accipitriformes,Accipitridae,Circus,cinereus,,gavilán ceniciento,LC,
Cistothorus platensis,Aves,Passeriformes,Troglodytidae,Cistothorus,platensis,,ratonera aperdizada,LC,
Cnemotriccus fuscatus,Aves,Passeriformes,Tyrannidae,Cnemotriccus,fuscatus,,,LC,
Coccycua cinerea,Aves,Cuculiformes,Cuculidae,Coccycua,cinerea,,cuclillo gris,LC,
Coccyzus americanus,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,,cuclillo pico amarillo,LC,
Coccyzus melacoryphus,Aves,Cuculiformes,Cuculidae,Coccyzus,melacoryphus,,cuclillo común,LC,
Coereba flaveola,Aves,Passeriformes,Coerebidae,Coereba,flaveola,,,LC,
Colaptes campestris,Aves,Piciformes,Picidae,Colaptes,campestris,,carpintero de campo,LC,
Colaptes melanochloros,Aves,Piciformes,Picidae,Colaptes,melanochloros,,carpintero nuca roja,LC,
Colaptes melanolaimus,Aves,Piciformes,Picidae,Colaptes,melanolaimus,,carpintero real común,LC,
Columbina picui,Aves,Columbiformes,Columbidae,Columbina,picui,,torcacita común,LC,
Columbina talpacoti,Aves,Columbiformes,Columbidae,Columbina,talpacoti,,torcacita colorada,LC,
Conopophaga lineata,Aves,Passeriformes,Conopophagidae,Conopophaga,lineata,,chupadientes,LC,
Coragyps atratus,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,,cuervo cabeza negra,LC,
Coryphistera alaudina,Aves,Passeriformes,Furnariidae,Coryphistera,alaudina,,crestudo,LC,
Coryphospingus cucullatus,Aves,Passeriformes,Thraupidae,Coryphospingus,cucullatus,,brasita de fuego,LC,
Coscoroba coscoroba,Aves,Anseriformes,Anatidae,Coscoroba,coscoroba,,coscoroba,LC,
Coturnicops notatus,Aves,Gruiformes,Rallidae,Coturnicops,notatus,,burrito enano,LC,
Cranioleuca obsoleta,Aves,Passeriformes,Furnariidae,Cranioleuca,obsoleta,,curutié oliváceo,LC,
Cranioleuca pyrrhophia,Aves,Passeriformes,Furnariidae,Cranioleuca,pyrrhophia,,trepadorcito,LC,
Cranioleuca sulphurifera,Aves,Passeriformes,Furnariidae,Cranioleuca,sulphurifera,,curutié ocráceo,LC,
Crotophaga ani,Aves,Cuculiformes,Cuculidae,Crotophaga,ani,,pirincho negro chico,LC,
Crotophaga major,Aves,Cuculiformes,Cuculidae,Crotophaga,major,,pirincho negro grande,LC,
Crypturellus obsoletus,Aves,Tinamiformes,Tinamidae,Crypturellus,obsoletus,,perdiz de monte,LC,
Cyanocompsa brissonii,Aves,Passeriformes,Cardinalidae,Cyanocompsa,brissonii,,reina mora,LC,
Cyanocorax caeruleus,Aves,Passeriformes,Corvidae,Cyanocorax,caeruleus,,urraca azul,NT,
Cyanocorax chrysops,Aves,Passeriformes,Corvidae,Cyanocorax,chrysops,,urraca común,LC,
Cyanocorax cyanomelas,Aves,Passeriformes,Corvidae,Cyanocorax,cyanomelas,,urraca morada,LC,
Cyanoliseus patagonus,Aves,Psittaciformes,Psittacidae,Cyanoliseus,patagonus,,loro barranquero,LC,
Cyanoloxia glaucocaerulea,Aves,Passeriformes,Cardinalidae,Cyanoloxia,glaucocaerulea,,azulito,LC,
Cyclarhis gujanensis,Aves,Passeriformes,Vireonidae,Cyclarhis,gujanensis,,juan chiviro,LC,
Cygnus melancoryphus,Aves,Anseriformes,Anatidae,Cygnus,melancoryphus,,cisne cuello negro,LC,
Daption capense,Aves,Procellariiformes,Procellariidae,Daption,capense,,petrel damero,LC,
Dendrocolaptes platyrostris,Aves,Passeriformes,Furnariidae,Dendrocolaptes,platyrostris,,trepador oscuro,LC,
Dendrocygna autumnalis,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,,,LC,
Dendrocygna bicolor,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,,pato canela,LC,
Dendrocygna viduata,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,,pato cara blanca,LC,
Diomedea epomophora,Aves,Procellariiformes,Diomedeidae,Diomedea,epomophora,,albatros real,VU,
Diuca diuca,Aves,Passeriformes,Thraupidae,Diuca,diuca,,diuca,LC,
Dolichonyx oryzivorus,Aves,Passeriformes,Icteridae,Dolichonyx,oryzivorus,,,LC,
Donacospiza albifrons,Aves,Passeriformes,Thraupidae,Donacospiza,albifrons,,monterita cabeza gris,LC,
Drymornis bridgesii,Aves,Passeriformes,Furnariidae,Drymornis,bridgesii,,trepador grande,LC,
Egretta caerulea,Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,,garza azul,LC,
Egretta thula,Aves,Pelecaniformes,Ardeidae,Egretta,thula,,garza blanca chica,LC,
Elaenia albiceps,Aves,Passeriformes,Tyrannidae,Elaenia,albiceps,,fiofío silbón,LC,
Elaenia flavogaster,Aves,Passeriformes,Tyrannidae,Elaenia,flavogaster,,,LC,
Elaenia mesoleuca,Aves,Passeriformes,Tyrannidae,Elaenia,mesoleuca,,fiofío oliváceo,LC,
Elaenia obscura,Aves,Passeriformes,Tyrannidae,Elaenia,obscura,,fiofío oscuro,LC,
Elaenia parvirostris,Aves,Passeriformes,Tyrannidae,Elaenia,parvirostris,,fiofío pico corto,LC,
Elaenia spectabilis,Aves,Passeriformes,Tyrannidae,Elaenia,spectabilis,,fiofío grande,LC,
Elanoides forficatus,Aves,Accipitriformes,Accipitridae,Elanoides,forficatus,,halcón tijereta,LC,
Elanus leucurus,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,,halcón blanco,LC,
Emberizoides herbicola,Aves,Passeriformes,Thraupidae,Emberizoides,herbicola,,coludo grande,LC,
Emberizoides ypiranganus,Aves,Passeriformes,Thraupidae,Emberizoides,ypiranganus,,coludo chico,LC,
Embernagra platensis,Aves,Passeriformes,Thraupidae,Embernagra,platensis,,verdón,LC,
Empidonomus varius,Aves,Passeriformes,Tyrannidae,Empidonomus,varius,,tuquito rayado,LC,
Eudyptes chrysocome,Aves,Sphenisciformes,Spheniscidae,Eudyptes,chrysocome,,pingüino penacho amarillo,VU,
Euphonia chlorotica,Aves,Passeriformes,Fringillidae,Euphonia,chlorotica,,tangará garganta violácea,LC,
Euphonia cyanocephala,Aves,Passeriformes,Fringillidae,Euphonia,cyanocephala,,tangará corona celeste,LC,
Euscarthmus meloryphus,Aves,Passeriformes,Tyrannidae,Euscarthmus,meloryphus,,barullero,LC,
Falco femoralis,Aves,Falconiformes,Falconidae,Falco,femoralis,,halcón plomizo,LC,
Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,peregrinus,,halcón peregrino,LC,
Falco sparverius,Aves,Falconiformes,Falconidae,Falco,sparverius,,halcóncito común,LC,
Florisuga fusca,Aves,Apodiformes,Trochilidae,Florisuga,fusca,,picaflor negro,LC,
Fluvicola albiventer,Aves,Passeriformes,Tyrannidae,Fluvicola,albiventer,,lavandera blanca,LC,
Fregata magnificens,Aves,Suliformes,Fregatidae,Fregata,magnificens,,fragata,LC,
Fulica armillata,Aves,Gruiformes,Rallidae,Fulica,armillata,,gallareta grande,LC,
Fulica leucoptera,Aves,Gruiformes,Rallidae,Fulica,leucoptera,,gallareta ala blanca,LC,
Fulica rufifrons,Aves,Gruiformes,Rallidae,Fulica,rufifrons,,gallareta escudete rojo,LC,
Fulmarus glacialoides,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialoides,,petrel plateado,LC,
Furnarius rufus,Aves,Passeriformes,Furnariidae,Furnarius,rufus,,hornero,LC,
Gallinago paraguaiae,Aves,Charadriiformes,Scolopacidae,Gallinago,paraguaiae,,becasina,LC,
Gallinula galeata,Aves,Gruiformes,Rallidae,Gallinula,galeata,,polla de agua,LC,
Gelochelidon nilotica,Aves,Charadriiformes,Laridae,Gelochelidon,nilotica,,gaviotín pico grueso,LC,
Geositta cunicularia,Aves,Passeriformes,Furnariidae,Geositta,cunicularia,,caminera,LC,
Geothlypis aequinoctialis,Aves,Passeriformes,Parulidae,Geothlypis,aequinoctialis,,arañero cara negra,LC,
Geothlypis velata,Aves,Passeriformes,Parulidae,Geothlypis,velata,,,NE,
Geranoaetus albicaudatus,Aves,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus,,águila cola blanca,LC,
Geranoaetus melanoleucus,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,,águila mora,LC,
Geranoaetus polyosoma,Aves,Accipitriformes,Accipitridae,Geranoaetus,polyosoma,,aguilucho lomo rojo,LC,
Geranospiza caerulescens,Aves,Accipitriformes,Accipitridae,Geranospiza,caerulescens,,gavilán patas largas,LC,
Glaucidium brasilianum,Aves,Strigiformes,Strigidae,Glaucidium,brasilianum,,caburé,LC,
Gnorimopsar chopi,Aves,Passeriformes,Icteridae,Gnorimopsar,chopi,,mirlo charrúa,LC,
Griseotyrannus aurantioatrocristatus,Aves,Passeriformes,Tyrannidae,Griseotyrannus,aurantioatrocristatus,,tuquito gris,LC,
Gubernatrix cristata,Aves,Passeriformes,Emberizidae,Gubernatrix,cristata,,cardenal amarillo,EN,EN
Gubernetes yetapa,Aves,Passeriformes,Tyrannidae,Gubernetes,yetapa,,yetapá grande,LC,
Guira guira,Aves,Cuculiformes,Cuculidae,Guira,guira,,pirincho,LC,
Haematopus ater,Aves,Charadriiformes,Haematopodidae,Haematopus,ater,,ostrero negro,LC,
Haematopus palliatus,Aves,Charadriiformes,Haematopodidae,Haematopus,palliatus,,ostrero común,LC,
Heliobletus contaminatus,Aves,Passeriformes,Furnariidae,Heliobletus,contaminatus,,,LC,
Heliomaster furcifer,Aves,Apodiformes,Trochilidae,Heliomaster,furcifer,,picaflor de barbijo,LC,
Hemithraupis ruficapilla,Aves,Passeriformes,Thraupidae,Hemithraupis,ruficapilla,,,LC,
Hemitriccus margaritaceiventer,Aves,Passeriformes,Tyrannidae,Hemitriccus,margaritaceiventer,,mosqueta ojo dorado,LC,
Heteronetta atricapilla,Aves,Anseriformes,Anatidae,Heteronetta,atricapilla,,pato cabeza negra,LC,
Heteroxolmis dominicana,Aves,Passeriformes,Tyrannidae,Heteroxolmis,dominicana,,viudita blanca grande,VU,
Himantopus mexicanus,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,,tero real,LC,
Hirundinea ferruginea,Aves,Passeriformes,Tyrannidae,Hirundinea,ferruginea,,viudita colorada,LC,
Hirundo rustica,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,,golondrina tijereta,LC,
Hydropsalis torquata,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,torquata,,dormilón tijereta,LC,
Hylocharis chrysura,Aves,Apodiformes,Trochilidae,Hylocharis,chrysura,,picaflor bronceado,LC,
Hymenops perspicillatus,Aves,Passeriformes,Tyrannidae,Hymenops,perspicillatus,,pico de plata,LC,
Icterus pyrrhopterus,Aves,Passeriformes,Icteridae,Icterus,pyrrhopterus,,boyerín,LC,
Ixobrychus involucris,Aves,Pelecaniformes,Ardeidae,Ixobrychus,involucris,,mirasol chico,LC,
Jacana jacana,Aves,Charadriiformes,Jacanidae,Jacana,jacana,,jacana,LC,
Knipolegus cyanirostris,Aves,Passeriformes,Tyrannidae,Knipolegus,cyanirostris,,viudita negra común,LC,
Knipolegus lophotes,Aves,Passeriformes,Tyrannidae,Knipolegus,lophotes,,viudita negra copetona,LC,
Larus atlanticus,Aves,Charadriiformes,Laridae,Larus,atlanticus,,gaviota cangrejera,NT,EN
Larus dominicanus,Aves,Charadriiformes,Laridae,Larus,dominicanus,,gaviota cocinera,LC,
Laterallus leucopyrrhus,Aves,Gruiformes,Rallidae,Laterallus,leucopyrrhus,,burrito patas rojas,LC,
Laterallus melanophaius,Aves,Gruiformes,Rallidae,Laterallus,melanophaius,,burrito patas verdes,LC,
Lathrotriccus euleri,Aves,Passeriformes,Tyrannidae,Lathrotriccus,euleri,,mosqueta de monte,LC,
Lepidocolaptes angustirostris,Aves,Passeriformes,Furnariidae,Lepidocolaptes,angustirostris,,trepador chico,LC,
Lepidocolaptes falcinellus,Aves,Passeriformes,Furnariidae,Lepidocolaptes,falcinellus,,trepador escamado,LC,
Leptasthenura platensis,Aves,Passeriformes,Furnariidae,Leptasthenura,platensis,,coludito copetón,LC,
Leptotila rufaxilla,Aves,Columbiformes,Columbidae,Leptotila,rufaxilla,,paloma montaraz oscura,LC,
Leptotila verreauxi,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,,paloma montaraz común,LC,
Lessonia rufa,Aves,Passeriformes,Tyrannidae,Lessonia,rufa,,sobrepuesto,LC,
Leucocarbo atriceps,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,atriceps,,,LC,
Leucochloris albicollis,Aves,Apodiformes,Trochilidae,Leucochloris,albicollis,,picaflor garganta blanca,LC,
Leucophaeus pipixcan,Aves,Charadriiformes,Laridae,Leucophaeus,pipixcan,,,LC,
Limnoctites rectirostris,Aves,Passeriformes,Furnariidae,Limnoctites,rectirostris,,pajonalera pico recto,NT,
Limnornis curvirostris,Aves,Passeriformes,Furnariidae,Limnornis,curvirostris,,pajonalera pico curvo,LC,
Limosa haemastica,Aves,Charadriiformes,Scolopacidae,Limosa,haemastica,,becasa de mar,LC,
Lochmias nematura,Aves,Passeriformes,Furnariidae,Lochmias,nematura,,macuquiño,LC,
Machetornis rixosa,Aves,Passeriformes,Tyrannidae,Machetornis,rixosa,,margarita,LC,
Mackenziaena leachii,Aves,Passeriformes,Thamnophilidae,Mackenziaena,leachii,,,LC,
